Client bank name;Bank name
ABC;ABC
ABN;ABN Amro
ABN AMRO;ABN Amro
ABN AMRO BANK N.V. - PARIS BRANCH;ABN Amro
ABN Amro;ABN Amro
ABNAGB;ABN Amro
ABNANL;ABN Amro
ABNUS;ABN Amro
AIB INTERNATIONAL;Arab International Bank
ANZ;ANZ
ANZ Melbourne;ANZ
ARAB BK plc;Arab Bank
ARAB INTERNATIONAL LEASE;Arab International Bank
ARAB TUNISIAN LEASE;Arab International Bank
Abn Amro  Bk Paris;ABN Amro
Allied Irish Bank Plc;Allied Irish Bank Plc
Australia and New Zealand Banking Group Limited;ANZ
Auxifip;Groupe Crédit Agricole
BAIL AZUR;Groupe Banque Populaire
BANCA INTESA (France) S.A.;Banca INTESA
BANESTO;Banesto
BANK OF CHINA LUXEMBOURG BRANCH;Bank of China
BANK OF IRELAND BUSINESS FINAN;Bank of Ireland
BANQUE SAN PAOLO;San Paomo IMI
BAR;Barclays
BARCLAYS BANK PLC;PLC
BARCLAYS Bank Wholesale London;Barclays
BARCLAYS MERCANTILE BUSINESS;Barclays
BARGB_1;Barclays
BATINEST;Groupe Caisse d'Epargne
BATINOREST;Groupe Caisse d'Epargne
BAYERISCHE LANDESBANK;Bayerische Landesbank
BBVA;BBVA
BBVA - France;BBVA
BBVAFR;Bco Bilbao Vizcaya Argentaria
BCI;Groupe CIC CM
BCME Bque Cciale marchés entrp;Groupe CIC CM
BECM;Groupe CIC CM
BECM / CIC;Groupe CIC CM
BES;BESV
BFCM;Groupe CIC CM
BFT;BFT
BFTGESTION;BFT  GESTION
BGFI;BGFI Bank
BIC;BICS
BICIG;BNP Paribas
BKCHINA;Bank of China
BLB;Bayerische Landesbank
British Linen Bank;HBOS
BLBDE;Bayerische Landesbank
BNG;BNP Paribas
BNI;BNP Paribas
BNM;BNP Paribas
BNP;BNP Paribas
BNP INTERCONTINENTALE;BNP Paribas
BNP PARIBAS;BNP Paribas
BNP PARIBAS -Centre d'Affaires Elysée Haussmann;BNP Paribas
BNP PARIBAS Hungary;BNP Paribas
BNP PARIBAS S.A. Paris   LOAN TRADING;BNP Paribas
BNP PARIBAS Singapore;BNP Paribas
BNP Paribas;BNP Paribas
BNP Paribas Lease Group;BNP Paribas
BNPLUX;BNP Paribas
BNPP;BNP Paribas
BNP_AM;BNP Paribas
BNP_EQU;BNP Paribas
BOA;Bank of America
BOFAUS6S;Bank of America
BOTFR;BoTM-UFJ
BP AM;Groupe Banque Populaire
BP AM2;Groupe Banque Populaire
BP Lorraine;Groupe Banque Populaire
BPC;Groupe Banque Populaire
BPF;Groupe Banque Populaire
BPI;Bco Portugues do Investimo
BPL;Groupe Banque Populaire
BPR;Groupe Banque Populaire
BPSS;BNP Paribas
BPSS_DEP;BNP Paribas
BPSS_SO_ET;BNP Paribas
BPSS_SO_EU;BNP Paribas
BPSS_SO_FR;BNP Paribas
BPTP;Groupe Banque Populaire
BQESOGENAL;BANQUE SOGENAL
BRA;Groupe Banque Populaire
BRD;Groupe Banque Populaire
BRE;Groupe Banque Populaire
BRED;Groupe Banque Populaire
BRED BQ POPULAIRE;Groupe Banque Populaire
BRO;BRO
BSP;Palatine
BSUIGB2L;Groupe Crédit Agricole
Banc of America Leasing & Capi;Bank of America
Banc of America Securities Ltd.;Bank of America
Banca Intesa;Banca INTESA
Banca di Roma S.p.a Paris Branch;banca di Roma
Bancaja;Bancaja
 Banco Bilbao Vizcaya Argentaria, S.A. ;BBVA
Banco ITAU;Banco Itaù
Banco Popular Espanol;Banco Popular Espanol
Banco de Castilla;Banco de Castilla
Banco de Sabadell;Banco de Sabadell
Bank of America;Bank of America
Bank of China;Bank of China
Banque Gabonaise de Développement;Banque Gabonaise de Développement
Banque Pop Bretagne Atlantique;Groupe Banque Populaire
Banque Scalbert Dupont;Groupe CIC CM
Banque Tarneaud;Société Générale
Barclays;Barclays
Bayerische Landesbank;Bayerische Landesbank
Bayerische Landesbank France;Bayerische Landesbank
Bayern LB;Bayerische Landesbank
Bca Monte Paschi di Sienna;Bca Monte Paschi di Sienna
Bco Bilbao Vizcaya Argentaria;BBVA
Bk of Tokyo Mitsubishi;BoTM-UFJ
BoTM-UFJ;BoTM-UFJ
C Régional Nord Pas de Calais;Groupe Crédit Agricole
C. AGRICOLE;Groupe Crédit Agricole
CAB;Groupe Crédit Agricole
CACANTA;Caja Cantabria
CAF;Camefi banque
CAI;Groupe Crédit Agricole
CAIC;Groupe Crédit Agricole
CAISSE REGIONALE DE CREDIT AGRICOLE DU NORD DE France;Groupe Crédit Agricole
CAISSE REGIONALE Sud Rhone Alpes;Groupe Crédit Agricole
CAIXALEAS;Caixa Leasing
CAJA Madrid;Caja Madrid
CALEAS;Groupe Crédit Agricole
CALYON;Groupe Crédit Agricole
CALYON CORPORATE AND INVESTMENT BANK;Groupe Crédit Agricole
CALYON HUNGARY;Groupe Crédit Agricole
CALYON POLAND;Groupe Crédit Agricole
CAM;Groupe Caisse d'Epargne
CAMADRID;Caja Madrid
CANTBERNE;REPUBLIQUE DU CANTON DE BERNE
CAPITALIA;Capitalia  Gruppo Bancario
CARDIF;Cardif Asset Management
CASFER;Caja San Fernando
CBPV;BP Val de France - cash poolin
CCCEP;CNCEP
CCF;HSBC
CCF00008;HSBC
CCM Marseille;Groupe CIC CM
CCP;La Poste
CCRG;CCR Gestion
CCT;CRCA Contres
CDB;China Development Bank
CDC;CDC
CDC Ixis;Natixis
CDC NOMINEES PTY LIMITED;CDC
CDC_AM;CDC
CDC_IXIS;CDC
CDN;Société Générale
CDTCOOP;Groupe Caisse d'Epargne
CEBBK;China Everbright Bank
CEBGR;China Everbright Bank
CEF;Groupe Caisse d'Epargne
CEPAYLOIRE;Groupe Caisse d'Epargne
CERESJOUR;CERES JOUR
CERESTRESO;CERES TRESORERIE
CFF;Groupe Caisse d'Epargne
CFM;Groupe Caisse d'Epargne
CGI;Groupe Crédit Agricole
CHASGB2L;JP Morgan
CHCITICBK;China Citic Bank
CIAL;Groupe CIC CM
CIC;Groupe CIC CM
CIC PARIS;Groupe CIC CM
CIC-BFCM;Groupe CIC CM
CIC_AM;Groupe CIC CM
CIF;Groupe Crédit Agricole
CIO;Groupe CIC CM
CITI;CitiBank
CITIBANK N.A London;CitiBank
CITICGRP;China Citic Bank
CITIFR;CitiBank
CITIGM;CitiBank
CL;Groupe Crédit Agricole
CLAIUS;Colonial Life & Accid Ins.CUDD
CLAM;Groupe Crédit Agricole
CLC_BOURSE;Groupe Crédit Agricole
CLIGDE;Commerzbank
CLY;Groupe Crédit Agricole
CLY_SEC;Groupe Crédit Agricole
CL_FCP;Groupe Crédit Agricole
CMB;Groupe CIC CM
CMN;Groupe CIC CM
CNE;Groupe Crédit Agricole
CNO;Groupe Crédit Agricole
COMBKDE;Commerzbank
CPB;CCP Boulogne Billancourt
CPRAM;Groupe Crédit Agricole
CRANSTON;CRANSTON City
CRC;Groupe Crédit Agricole
CRCAM Anjou Maine;Groupe Crédit Agricole
CRCAM IDF;Groupe Crédit Agricole
CRDSUIS_SO;Crédit Suisse
CREDEM;Credito Emiliano
CREDIT AGRICOLE LEASING;Groupe Crédit Agricole
CREDIT DU NORD;Société Générale
CREDIT INDUSTRIEL ALSACE LORR;Groupe CIC CM
CREDIT MUTUEL DE MAINE ANJOU;Groupe CIC CM
CREDIT SUISSE FIRST BOSTON PARIS BRANCH;Crédit Suisse
CRESGB;Crédit Suisse
CRL;Groupe Crédit Agricole
CRLYGB;Groupe Crédit Agricole
CRMUTDAUPH;Groupe CIC CM
CRMUTFIN;Groupe CIC CM
CRMUTNORD;Groupe CIC CM
CSAS;Ceska Sporitelna as
CSFBGB;Credit Suisse
CTBAAU2S;Commonwealth Bank of Australia
CUDDUS;CUDD & CO
CYRILFINAN;CYRIL FINANCE GESTION
Caisse Regionale de Credit Agricole Mutuel du Nord-Est;Groupe Crédit Agricole
Caisse Régionale Centre France;Groupe Crédit Agricole
Caja Madrid;Caja Madrid
Calyon;Groupe Crédit Agricole
Calyon UK;Groupe Crédit Agricole
Camefi Banque;Groupe CIC CM
China Agriculture Bank;China Agriculture Bank
China Construction Bank;China Construction Bank
China Everbright Bank;China Everbright Bank
Citibank;CitiBank
 Citibank International Plc, London ;CitiBank
Citigroup Inc;CitiBank
CommerzLeasing und Immobilien;Commerzbank
Commerzbank;Commerzbank
Commerzbank AG;Commerzbank
Credit Cooperatif;Groupe Caisse d'Epargne
Credit Mutuel - CIC;Groupe CIC CM
Credit Suisse First Boston;Crédit Suisse
Crédit Mutuel Bretagne;Groupe CIC CM
Crédit Mutuel Nord;Groupe CIC CM
DANSKEBK;Danske Bank
DBSA;Devt Bank of South Africa
DEBISACL;debis AC Leasing
DEMETER;FCPR DEMETER
DEU;Deutsche bank
DEUDE;Deutsche bank
DEULU;Deutsche bank
DEX;Dexia
DEXIA;Dexia
DEXIA CREDIT LOCAL;Dexia
DEXIA INVESTMENTS IRELAND;Dexia
DIS;DWS Investments
DISKO;Disko
DRESDE;DRESDNER BANK
DRESDNER BANK AG;Dresdner Bank
DZ BANK AG Deutsche Zentral-Genossenschaftsbank Francfort;DZ BANK
DZBK;DZ BANK
Deutsche Bank;Deutsche Bank
Deutsche Bank AG;Deutsche bank
Deutsche Bank Luxembourg;Deutsche bank
Deutsche Bank Luxembourg S.A.;Deutsche bank
Dexia;Dexia
Dexia CLF Banque;Dexia
Dexia Flobail;Dexia
DnB NOR Bank ASA;DnB Nor Bank
Dresdner;Dresdner Bank
Dresdner Bank;Dresdner Bank
 Dresdner Bank AG, London Branch ;Dresdner Bank
 Dresdner Bank AG, Niederlassung Luxemburg ;Dresdner Bank
ECM;Groupe CIC CM
ECOFI;Eco fi investissement
ECUSERVICE;Groupe Caisse d'Epargne
EESTI;EESTI UHISPANK
ELCONFI;ELCON FINANS
ENSKILDA;Scandinaviska Enskilda Banken
ENUT;ENERGO UTECH SA
